id,releaseName,releaseDate,numOfCommits
1,1.0.0,2009-07-14,83
2,1.1.0,2009-09-15,32
3,1.2.0,2009-10-14,27
4,1.3.0,2010-02-26,232
5,1.3.1,2010-03-16,21
6,1.3.2,2010-03-31,10
7,1.3.3,2010-06-07,56
8,1.4.0,2010-09-08,81
9,1.4.1,2010-10-13,17
10,1.5.0,2011-03-11,113
11,1.5.1,2011-05-03,30
12,1.5.2,2011-08-12,44
13,1.5.3,2011-08-30,12
14,1.5.4,2011-09-12,5
15,1.6.0,2011-11-01,86
16,1.6.1,2011-11-14,5
17,1.6.2,2012-02-14,54
18,1.6.3,2012-03-19,19
19,1.7.0,2012-06-11,55
20,1.7.1,2012-07-16,14
21,1.7.2,2012-09-24,44
22,1.7.3,2012-12-06,29
23,1.7.4,2013-02-26,36
24,1.7.5,2013-08-19,58
25,1.7.7,2014-07-24,115
26,1.8.0,2016-01-29,133
27,1.8.1,2016-05-20,43
28,1.8.2,2017-05-14,100
29,1.9.0,2019-05-14,540
30,1.9.1,2019-09-02,112
31,1.9.2,2020-02-12,144
32,1.10.0,2020-06-29,194
33,1.10.1,2020-12-04,105
34,1.10.2,2021-03-15,81
35,1.11.0,2021-10-27,200
36,1.11.1,2022-07-31,390
37,1.11.2,2023-07-03,430
38,1.11.3,2023-09-22,177
